Date,Time,DST,disturbance_date,Disturbance_time,B(IMF),Vector_B,Lat_angle_B,Long_angle_B,Bz(GSE),Bz(GSM),RMS_magnitude,RMS_field_vector,RMS_BZ_GSE,Plasma_Temp,Proton_Density,Plasma_speed,Alpha/proton,sigma-T,sigma-n,sigma-V,sigma-ratio,flow_pressure,E_field,Plasma_beta,Kp_index,Ap_index
2000/01/18,17:54:05,-97.5,23/01/2000,03:00:00,13.5,4.6,44.1,253.7,3.2,2.1,0.6,12.2,10.4,99728,29.1,389,9.999,13029,3.6,2,9.999,8.81,-0.82,1.52,57,67
2000/01/27,19:31:17,-42.5,28/01/2000,13:00:00,6,5,33.4,142.6,2.8,3.1,0.4,2.8,2,405195,1.8,761,0.041,29793,0.1,22,0.006,2.03,-2.36,1.11,43,32
2000/01/28,20:12:41,-42.5,12/02/2000,11:00:00,20.6,16,-5,292.4,-1.4,-3.6,1.7,12.1,10.3,139433,13,569,0.095,52132,2.3,16,0.027,9.7,2.05,0.34,67,111
2000/02/08,09:30:05,-132.5,,,,,,,,,,,,,,,,,,,,,,,,
2000/02/09,19:54:17,-132.5,,,,,,,,,,,,,,,,,,,,,,,,
2000/02/10,02:30:05,-132.5,,,,,,,,,,,,,,,,,,,,,,,,
2000/02/12,04:31:20,-133,,,,,,,,,,,,,,,,,,,,,,,,
2000/02/17,21:30:08,-30,24/02/2000,15:00:00,6.3,4.2,22.8,159.1,1.6,1.9,0.3,4,2.5,331291,2.3,736,0.055,17280,0.2,12,0.007,2.54,-1.4,1.11,40,27
2000/02/28,10:54:05,-42.5,01/03/2000,15:00:00,7.7,7.6,-28.8,19,-3.6,-2.7,0.3,1.3,0.8,27338,4.8,444,0.028,7074,1.1,5,0.007,1.76,1.2,0.52,33,18
2000/03/01,03:30:05,-42.5,,,,,,,,,,,,,,,,,,,,,,,,
2000/03/29,10:54:30,-60,31/03/2000,11:00:00,7.1,7,-44.5,275.9,-4.9,-5.9,0.2,1,0.5,22474,7.9,397,0.104,1669,0.8,2,0.007,2.94,2.34,0.98,37,22
2000/04/04,16:32:37,-286.6666667,07/04/0200,00:00:00,24.6,18.9,-14.2,303.3,-4.7,-12.1,1.5,15,11.8,263919,29.6,571,0.073,40557,5.1,9,0.014,20.82,6.91,0.8,87,300
2000/04/07,01:31:21,-288,,,,,,,,,,,,,,,,,,,,,,,,
2000/04/10,00:30:05,-65,10/04/2000,01:00:00,5.5,5.4,-39.8,303.5,-3.4,-4.7,0.1,0.7,0.4,152369,1.5,539,9.999,10293,0.1,6,9.999,0.87,2.53,0.58,37,22
2000/04/23,12:54:05,-60,,,,,,,,,,,,,,,,,,,,,,,,
2000/05/03,02:06:05,-35,12/05/2000,08:00:00,9.5,9.4,-61,352,-8.3,-8.3,0.3,1.1,0.6,9999999,999.9,309,0.01,9999999,999.9,4,0.001,99.99,2.56,999.99,40,27
2000/05/05,15:50:05,-30,,,,,,,,,,,,,,,,,,,,,,,,
2000/05/07,20:50:07,-35,,,,,,,,,,,,,,,,,,,,,,,,
2000/05/12,23:26:05,-92.5,17/05/2000,05:00:00,8.2,7.8,34.6,144.4,4.5,5.2,0.4,1.8,1.5,36393,11.8,505,0.031,3811,2,7,0.004,5.65,-2.63,1.2,60,80
2000/05/22,01:50:05,-147.5,24/05/2000,08:00:00,18,17.4,-24.1,302.5,-7.1,-7.5,0.4,3.7,1.2,345572,3.7,643,0.118,53613,2,33,0.017,3.76,4.82,0.23,60,80
2000/05/24,09:06:05,-147,,,,,,,,,,,,,,,,,,,,,,,,
2000/06/06,15:54:05,-90,08/06/2000,19:00:00,15.2,15.1,-13.5,199.8,-3.5,-4.5,0.1,1.3,1,171978,2.4,761,0.135,33598,0.4,4,0.052,3.57,3.42,0.13,60,80
2000/06/10,17:08:05,-52.5,10/06/2000,07:00:00,7.6,7.5,-46.9,145.9,-5.5,-5.6,0.1,1.2,0.4,139976,1,576,9.999,40252,0.2,7,9.999,0.66,3.23,0.19,37,22
2000/07/07,10:26:05,-25,12/07/2000,01:00:00,8.4,8.1,11,136.7,1.5,1.5,0.7,1.8,1.3,32816,6.8,541,0.071,8948,3.5,4,0.031,4.27,-0.81,0.65,37,22
2000/07/11,13:27:23,-300,16/07/2000,01:00:00,47.4,47.3,14,48.5,11.5,10.5,0.4,3.1,2.9,389399,2.1,1012,9.999,0,0,0,9.999,4.3,-10.63,0.02,77,179
2000/07/14,10:54:07,-301,,,,,,,,,,,,,,,,,,,,,,,,
2000/07/25,03:30:05,-70,30/07/2000,11:00:00,9.3,9.2,-55.2,156.3,-7.5,-7.7,1.9,2.5,1.3,41469,11.2,459,0.062,18348,5.3,6,0.02,4.92,3.53,0.91,57,67
2000/07/27,19:54:06,-70,,,,,,,,,,,,,,,,,,,,,,,,
2000/08/09,16:30:05,-234.2168675,12/08/20000,09:00:00,33.6,33.3,-24.6,91.1,-13.9,-26.6,0.4,3.8,2.1,32869,4.7,613,9.999,6178,1.6,7,9.999,3.53,16.31,0.03,77,179
2000/08/11,07:31:25,-106,12/08/2000,19:00:00,21.8,21.5,18.8,102.2,6.9,2.9,0.3,2.3,1.2,60503,9,554,9.999,5744,1.2,7,9.999,5.52,-1.61,0.15,63,94
2000/08/12,10:35:14,-235,,,,,,,,,,,,,,,,,,,,,,,,
2000/09/12,11:54:05,-196.626506,17/09/2000,23:00:00,27.5,8.5,-43.5,151.3,-5.8,-6.3,5,25.9,10,673861,11.3,795,0.08,262509,2.4,8,0.027,15.74,5.01,0.5,83,236
2000/09/12,17:30:05,-196.626506,,,,,,,,,,,,,,,,,,,,,,,,
2000/09/16,05:18:14,-199.5180723,,,,,,,,,,,,,,,,,,,,,,,,
2000/09/17,23:50:05,-201,,,,,,,,,,,,,,,,,,,,,,,,
